Min X value: -12.95802
Min Y value: 0
Min Z value: -12.9573
Max X value: 2004.363
Max Y value: 0
Max Z value: 1997.785
Key: charpos in X , Y , Z , Time since start capture
1058.472 , 50.53719 , 686.8216 , 2.5
1058.771 , 50.34519 , 686.7905 , 2.52
1059.069 , 50.14519 , 686.7593 , 2.54
1059.367 , 49.93719 , 686.7282 , 2.56
1059.666 , 49.72119 , 686.6971 , 2.58
1059.964 , 49.49719 , 686.666 , 2.6
1060.263 , 49.26519 , 686.6349 , 2.62
1060.561 , 49.02519 , 686.6038 , 2.64
1060.859 , 48.77719 , 686.5726 , 2.66
1061.158 , 48.52119 , 686.5416 , 2.68
1061.456 , 48.25719 , 686.5104 , 2.7
1061.755 , 47.98519 , 686.4793 , 2.72
1062.053 , 47.70519 , 686.4482 , 2.74
1062.351 , 47.41719 , 686.4171 , 2.76
1062.65 , 47.12119 , 686.386 , 2.78
1062.948 , 46.81719 , 686.3549 , 2.8
1063.246 , 46.50519 , 686.3237 , 2.82
1063.545 , 46.18519 , 686.2926 , 2.84
1063.843 , 45.85719 , 686.2615 , 2.86
1064.142 , 45.52119 , 686.2304 , 2.88
1064.44 , 45.17719 , 686.1993 , 2.9
1064.738 , 44.82519 , 686.1682 , 2.92
1065.037 , 44.46519 , 686.1371 , 2.94
1065.335 , 44.09719 , 686.106 , 2.96
1065.633 , 43.72119 , 686.0748 , 2.98
1065.932 , 43.33719 , 686.0437 , 3
1066.23 , 43.0313 , 686.0126 , 3.02
1066.51 , 43.0233 , 686.1204 , 3.04
1066.79 , 43.0073 , 686.2281 , 3.06
1067.07 , 42.9833 , 686.3358 , 3.08
1067.35 , 42.9513 , 686.4435 , 3.1
1067.63 , 42.9113 , 686.5513 , 3.12
1067.91 , 42.8633 , 686.6591 , 3.14
1068.19 , 42.8073 , 686.7668 , 3.16
1068.47 , 42.7433 , 686.8745 , 3.18
1068.75 , 42.6713 , 686.9822 , 3.2
1069.03 , 42.5913 , 687.09 , 3.22
1069.31 , 42.5033 , 687.1978 , 3.24
1069.59 , 42.4073 , 687.3055 , 3.26
1069.87 , 42.3033 , 687.4132 , 3.28
1070.15 , 42.1913 , 687.5209 , 3.3
1070.43 , 42.0713 , 687.6287 , 3.32
1070.71 , 41.94329 , 687.7364 , 3.34
1070.99 , 41.8073 , 687.8442 , 3.36
1071.27 , 41.6633 , 687.9519 , 3.38
1071.55 , 41.5113 , 688.0596 , 3.4
1071.83 , 41.3513 , 688.1674 , 3.42
1072.11 , 41.1833 , 688.2751 , 3.44
1072.39 , 41.0073 , 688.3829 , 3.46
1072.67 , 40.8233 , 688.4906 , 3.48
1072.95 , 40.6313 , 688.5984 , 3.5
1073.23 , 40.4313 , 688.7061 , 3.52
1073.51 , 40.2233 , 688.8138 , 3.54
1073.79 , 40.0073 , 688.9216 , 3.56
1074.07 , 39.78329 , 689.0293 , 3.58
1074.35 , 39.5513 , 689.1371 , 3.6
1074.63 , 39.3113 , 689.2448 , 3.62
1074.91 , 39.0633 , 689.3525 , 3.64
1075.19 , 38.8073 , 689.4603 , 3.66
1075.47 , 38.5433 , 689.568 , 3.68
1075.75 , 38.2713 , 689.6758 , 3.7
1076.03 , 37.9913 , 689.7835 , 3.72
1076.31 , 37.7033 , 689.8912 , 3.74
1076.59 , 37.4073 , 689.999 , 3.76
1076.87 , 37.1033 , 690.1067 , 3.78
1077.15 , 36.7913 , 690.2145 , 3.8
1077.43 , 36.4713 , 690.3222 , 3.82
1077.71 , 36.1433 , 690.4299 , 3.84
1077.99 , 35.8073 , 690.5377 , 3.86
1078.27 , 35.4633 , 690.6454 , 3.88
1078.55 , 35.30615 , 690.7532 , 3.9
1078.83 , 35.34876 , 690.8609 , 3.92
1079.11 , 35.39137 , 690.9686 , 3.94
1079.39 , 35.43396 , 691.0764 , 3.96
1079.67 , 35.47655 , 691.1841 , 3.98
1079.947 , 35.51754 , 691.2991 , 4
1080.222 , 35.55768 , 691.4178 , 4.02
1080.498 , 35.61216 , 691.5364 , 4.04
1080.772 , 35.67096 , 691.6587 , 4.06
1081.046 , 35.72978 , 691.7809 , 4.08
1081.32 , 35.78857 , 691.9032 , 4.1
1081.594 , 35.84736 , 692.0255 , 4.12
1081.868 , 35.90618 , 692.1477 , 4.14
1082.141 , 35.92604 , 692.2699 , 4.16
1082.415 , 35.9232 , 692.3922 , 4.18
1082.689 , 35.92035 , 692.5144 , 4.2
1082.963 , 35.91751 , 692.6367 , 4.22
